,Title,Description,Release Date,Metascore,User Score
91,Bandits: Phoenix Rising,"The game where your cannon mounted combat car takes you on an adventure across green fields, desert canyons and deep snow, bombing and blasting all sorts of enemies and cargo trucks, defending your gang and your glory! [PAN Vision]","March 28, 2003",73,7.4
92,Soldiers of Anarchy,"It's 2013. 10 years ago, a fanatical cult caused a near apocalypse on the Earth. To survive, you and a group of military veterans went underground. Now, you emerge to a world enslaved by the cult. You must free humanity from its new oppressors. Controlling a fully customizable squad of up to 12 soldiers, you work your way through a scarred landscape. Starting with only a pistol, your squad must locate and recapture the weapons of modern warcraft and do battle. But be careful because all weapons and vehicles can also be commandeered by the enemy, even in mid-battle-and used against you, too.","October 8, 2002",73,7.3
93,Vietcong: Fist Alpha,"First Alpha is the official expansion pack to Vietcong. Introducing an array of new characters, weapons and aircraft along with new single and mulit-play missions. ""First Alpha"" - your US Special Forces team are in the 'Nam facing the deadliest of enemies encountered on any battlefield - the Vietgong. Introducing Warren Douglas SFC and Ngueyn Nham joining First Alpha and appearing alongside five members of the original Special Forces unit. Original Vietcong game required to play. [Gathering of Developers]","February 4, 2004",73,7.5
94,Massive Chalice,"Massive Chalice is a single player turn-based tactics game within a multi-generational strategy campaign where you must unite your kingdom under a powerful dynasty as an immortal King or Queen to eliminate the demonic threat, and reforge the Massive Chalice.","June 1, 2015",73,6.0
95,"Warhammer 40,000: Dawn of War - Soulstorm","Warhammer 40,000: Dawn of War – Soulstorm is set in Games Workshop’s Warhammer 40,000 universe – a dark, futuristic, fantasy setting where armies of technologically advanced warriors, fighting machines and hordes of implacable aliens wage constant war – and is played by millions worldwide. Soulstorm is a complete standalone title and features two all-new armies, including the malicious Dark Eldar, for an unprecedented total of nine playable races. In addition to new units across each of the seven existing races, Warhammer 40,000: Dawn of War – Soulstorm incorporates air units for the first time and introduce multiplayer medals, adding a whole new level of depth to online battles. The revolutionary meta-game introduced in Warhammer 40,000: Dawn of War – Dark Crusade is further expanded to an interplanetary scale in Warhammer 40,000: Dawn of War – Soulstorm, allowing players to battle across an entire star system. [THQ]","March 4, 2008",73,8.1
96,Draugen,"Draugen is a single-player, first-person Fjord Noir mystery set in 1920s Norway. Explore a picturesque coastal community in your search for your missing sister, accompanied by your gregarious and enigmatic young ward.","May 29, 2019",73,6.8
97,Rad Rodgers,"Bringing back the 90's-era PC platformer with a game inspired by classics like Commander Keen, Conker, Ruff'n'Tumble & Jazz Jackrabbit.","February 21, 2018",73,5.9
98,Poly Bridge,Unleash your engineering creativity with an engaging and fresh bridge-building simulator with all the bells and whistles.,"July 12, 2016",73,7.3
99,Blood Bowl: Legendary Edition,"Blood Bowl: Legendary Edition is the ultimate Blood Bowl edition! 12 new playable races join the 8 races already available in the 2009 edition. Thus, Blood Bowl fans will find all their favorite races from the original board game. Undeads, Amazons, Ogres and 9 other races enter Blood Bowl's tournaments. All 20 races have their personal style, tactics and unique skills which give each game a diversity rarely seen in a strategy game.","October 28, 2010",73,6.3
0,The Flame in the Flood,"A rogue-lite river journey through the backwaters of a forgotten post-societal America. Forage, craft, evade predators.","February 24, 2016",73,6.1
1,Pathfinder: Kingmaker,"Pathfinder: Kingmaker is the first isometric party-based computer RPG set in the Pathfinder fantasy universe. Enjoy a classic RPG experience inspired by games like Baldur's Gate, Fallout 1 and 2 and Arcanum. Explore and conquer the Stolen Lands and make them your kingdom!","September 25, 2018",73,7.4
2,Blues and Bullets - Episode 1: The End of Peace,"Eliot Ness, the former leader of the legendary Untouchables, wished only to spend the rest of his days working in his diner, not dwelling too much on the cesspit of corruption his city, Santa Esperanza, had degenerated into. But things rarely go as planned.","July 23, 2015",73,6.3
3,Yooka-Laylee,"Yooka-Laylee is an all-new 3D platformer from the creative talent behind the Banjo-Kazooie and Donkey Kong Country games. Our new heroes, Yooka (the green bloke with no pants) and Laylee (the wisecracking lady-bat with the big nose) were conceptualised from the ground up for stellar platforming gameplay, created by the same character artist behind the rebooted Donkey Kong family and legendary N64 heroes Banjo and Kazooie. Using an arsenal of special moves like Yookas tongue grapple and Laylees tactical sonar blast, players will explore  and expand  gorgeous 3D worlds drawn up by esteemed environment artist Steven Hurst (Banjo-Kazooie series, Viva Pinata) and through skill discover the plethora of delicious collectibles hidden within.

FEATURES:

* Heroes Built for Fun: Our new buddy-duo were dreamed up specifically for entertaining platforming gameplay and exceptional colour coordination. We think we've captured the spirit of our past heroes while introducing our most inventive moves yet.

* An Arsenal of Abilities: Sonar blasting, tongue whipping, sky soaring a move roster built for platforming fun  and unlocked with added freedom. Additionally, there may or may not be a move involving a giant fart bubble.

* A Dream Soundtrack: David Wise (Donkey Kong Country) and Grant Kirkhope (Banjo-Kazooie) combine in what's sure to be a melodic masterpiece! Seriously, clean out your ears - they're in for a treat.

* Collect-em-up 2.0: A roster of shiny collectibles with gameplay progression at their core (as well as other, more valuable materials). Every collectible type in our new game will expand gameplay in a meaningful way. Yes, we employ the man responsible for DK64's myriad of trinkets, but we've had a stern word. Our main collectible, Pagies, are used to unlock and expand new worlds in Yooka-Laylee.

* Expandable Worlds: Experience more of the playgrounds you love by spending collectibles to expand your favourites into bigger, more challenging worlds.

* A Cast to Last: A huge cast of memorable characters to meet (or beat) brought to life by the art and audio teams behind Banjo-Kazooie and destined to endure in future games as part of Playtonic Universe. Expect all manner of grunts, squeaks and squawks.

* Introducing Play Tonics: Discover these unique gameplay modifiers and use them to customise gameplay to suit your style. Will you run faster, hit harder or fly further? Also, are they named after our studio or vice versa? We'll never know.

* Arcade machines: Each world hides at least one secret arcade game encasing old-school gaming goodness. Complete its retro-tastic challenge to claim your Pagie!","April 5, 2017",73,6.5
